"","HDI","e.finit.n","e.finit.s","e.grth.n","e.inov.n","e.inov.s","e.cinov.n","e.cinov.s","v.spoll.n","v.spoll.s","v.cfsus.n","v.cfsus.s","v.drop.n","v.drop.s"
"44",0.0192309,2.524,3.7,0.02212,0.02654,-0.01326,0.00035,0.00499,2.03,9.29,0.976,0.5408,0.00193,0.00313
"45",0.00153113,1.308,3.86,0.01276,0.00938,-0.01434,0.00413,0.00419,8.85,6.79,1.0128,0.744,0.00801,0.00953
"46",-0.00744194,0.348,3.476,0.01084,0.01634,0.00582,0.00997,0.00965,0.63,6.65,0.7088,0.864,0.00221,0.00247
"47",0.0261775,1.244,3.572,0.02348,0.03026,0.02838,0.00749,0.00763,9.27,0.51,0.5696,0.6288,0.00931,3e-05
"48",-0.0246078,0.548,0.764,0.00284,0.04814,-0.02154,0.00829,0.00491,5.87,0.27,0.7328,1.0352,0.00103,0.00379
"49",0.0127382,2.98,2.244,0.00676,0.01154,0.01254,0.00459,0.00195,3.05,8.65,1.144,1.0416,0.00955,0.00109
"50",-0.0925464,0.836,3.132,0.03156,0.02294,-0.0243,0.00203,0.00683,8.51,8.99,0.8128,0.8352,0.00525,0.00497
"51",-0.120021,3.5,0.052,0.02524,-0.00958,-0.02358,0.00671,0.00739,6.85,5.45,0.9744,0.6784,0.00799,0.00393
"52",-0.0163255,0.372,2.444,0.0202,-0.00922,-0.02382,0.00041,0.00115,4.15,9.15,0.8976,1.1648,0.00963,0.00511
"53",-0.0240905,2.796,0.156,0.03108,-0.00466,0.02634,0.00363,0.00035,0.55,2.53,1.1568,0.6992,0.00827,0.00551
"54",0.00996377,3.708,2.284,0.00052,0.01166,0.0231,0.00643,0.00915,1.61,6.29,1.1408,0.88,0.00307,0.00793
"55",0.0145864,0.076,0.372,0.02012,0.02426,0.0153,0.00377,0.00255,7.89,0.21,0.5104,1.0752,0.00073,0.00341
"56",-0.102782,1.156,2.1,0.033,-0.00178,-0.00582,0.00783,0.00083,7.93,0.19,1.0848,0.6656,0.00455,0.00163
"57",-0.0956064,2.66,3.196,0.03916,-0.00406,0.01338,0.00359,0.00695,3.81,1.99,1.2304,1.0256,0.00663,0.00729
"58",-0.0580664,0.468,3.796,0.03468,0.03422,-0.02586,0.00769,0.00753,0.99,1.55,0.8416,0.5696,0.00547,0.00235
"59",0.0173017,0.828,1.644,0.01332,0.01442,0.01734,0.00435,0.00707,5.95,0.87,0.7232,1.2864,0.00607,0.00553
"60",0.0218539,2.044,1.284,0.00524,0.03158,0.01758,0.00515,0.00601,2.25,8.39,1.1488,0.9408,0.00507,0.00039
"61",0.0455623,1.42,0.212,0.03228,0.03518,-0.00978,0.00521,0.00075,7.57,7.79,1.2224,0.6544,0.00765,0.00149
"62",-0.0671673,2.308,0.42,0.00508,-0.0061,-0.02058,0.00981,0.00701,4.47,4.89,1.16,0.6496,0.00815,0.00977
"63",-0.0383556,2.836,3.364,0.02068,0.03818,-0.01026,0.00245,0.00935,3.35,0.15,1.2672,0.8704,0.00405,0.00859
"64",-0.00278652,0.78,3.58,0.031,0.0251,-0.02226,0.00699,0.00329,4.91,3.01,0.8288,1.2848,0.00403,0.00479
"65",-0.0211499,0.916,3.172,0.03116,0.03734,-0.01554,0.00805,0.00789,0.17,9.91,0.9072,1.1104,0.00409,0.00409
"66",0.00763242,0.42,2.74,0.0386,0.04262,0.01962,0.00117,0.00161,6.45,0.57,0.5408,0.7968,0.00731,0.00169
"67",0.00945252,2.86,1.092,0.00716,0.03398,-0.02514,0.00207,0.00859,9.07,8.91,0.792,1.2176,0.00691,0.00151
"68",0.0140128,0.748,1.38,0.0058,0.04058,-0.02574,0.00893,0.00451,9.11,1.37,0.5728,0.5504,0.00999,0.00471
"69",-0.0120207,0.716,3.004,0.02908,0.00434,-0.01218,0.00729,0.00261,8.35,2.45,0.8608,1.2656,0.00353,0.00673
"70",0.0178063,1.324,2.892,0.0146,0.0317,-0.02034,0.00903,0.00037,7.35,2.89,0.7952,0.7232,0.00481,0.00357
"71",-0.18596,1.3,3.348,0.03724,0.03674,-0.02082,0.00761,0.00067,0.19,0.39,1.24,1.1824,0.00575,0.00503
"72",-0.00964545,2.252,1.532,0.0142,0.0227,-0.0051,0.00901,0.00065,0.05,6.97,1.1024,0.5664,0.00993,0.00715
"73",0.0146543,0.532,3.092,0.01212,0.03134,0.01722,0.00103,0.00213,0.07,3.41,0.9168,0.5056,0.00225,0.00785
"74",0.028243,1.572,3.316,0.02556,0.0485,-0.01374,0.00627,0.00729,6.15,4.35,1.2928,1.0784,0.00891,0.00443
"75",0.00466366,3.796,2.348,0.01044,-7e-04,0.0105,0.00841,0.00777,6.63,9.75,0.5008,1.1056,0.00671,0.00111
"76",-0.0815556,0.292,2.196,0.00964,0.0461,-0.01734,0.00919,0.00795,3.95,0.35,1.0576,0.6176,0.00433,0.00347
"77",-0.023269,1.316,2.356,0.02332,0.0077,-0.01674,0.00127,0.00427,2.45,5.39,0.6272,1.296,0.00699,0.00209
"78",-0.0627138,1.356,0.756,0.01172,0.00458,-0.01938,0.00119,0.00629,3.71,1.27,0.8272,0.9584,0.00047,0.00609
"79",-0.0529613,1.708,2.876,0.0262,-0.0097,-0.0105,0.00487,0.00173,5.19,3.17,1.0976,0.9264,7e-05,0.00541
"80",0.00587863,2.804,0.38,0.0318,0.0083,0.0129,0.00639,0.00295,4.05,1.95,0.6432,1.0144,0.00487,0.00791
"81",-0.0797021,1.884,0.948,0.0314,0.0107,-0.0147,0.00307,0.00865,3.79,1.23,0.5888,1.1008,0.00549,0.00811
"82",0.0128448,0.868,0.644,0.00804,0.03794,0.00306,0.00765,0.00401,5.67,3.49,1.2448,1.1392,0.00921,0.00205
"83",0.00666778,3.276,2.436,0.0186,0.03854,-0.01686,0.00417,0.00215,9.89,1.63,1.0912,0.688,0.00701,0.00041
"84",-0.0128983,1.228,1.06,0.0102,0.01394,-0.0141,3e-05,0.00711,1.33,6.03,1.2,1.2816,0.00399,0.00191
"85",0.0206305,3.764,2.044,0.03812,0.04382,-0.02706,0.00465,0.00315,2.19,8.27,0.664,0.7024,0.00599,0.00583
"86",-0.0636346,3.26,0.468,0.01468,-0.00442,-0.01002,0.00569,0.00653,5.77,4.77,1.0736,0.8304,0.00319,0.00143
"87",0.032639,3.076,3.028,0.02196,0.03194,-0.00798,0.00727,0.00379,2.73,2.43,0.6528,1.264,0.00917,0.00571
"88",0.0371841,2.196,0.58,0.03244,0.04322,0.00438,0.00349,0.00721,3.15,4.05,0.936,1.24,0.00803,0.00177
"89",-0.0430589,0.356,0.06,0.01452,0.01214,0.0261,0.00667,0.00359,8.55,1.21,0.584,0.6032,0.00463,0.00983
"90",-0.123904,0.524,2.524,0.02244,0.0095,-0.02874,0.00215,0.00693,2.31,0.47,1.0176,1.2224,0.00185,0.00647
"91",0.0242931,2.908,0.964,0.02612,0.00866,0.02286,0.00263,0.00337,0.13,1.85,0.9904,1.0576,0.00239,0.00159
"92",-0.0143927,0.132,0.932,0.03652,0.00098,0.02202,0.00381,0.00265,3.33,7.71,0.6832,0.7648,0.00161,0.00289
"93",0.023421,3.804,3.124,0.0178,0.03686,0.02094,0.00939,0.00833,3.91,4.31,0.9424,0.6912,0.00759,0.00973
"94",0.0128701,2.868,1.212,0.03668,0.04106,-0.01878,0.00085,0.00717,8.91,8.15,0.6736,0.76,0.00883,0.00757
"95",0.0322208,2.58,2.644,0.02852,0.01226,-0.0069,0.00229,0.00091,9.19,5.91,1.0272,1.1296,0.00843,0.00119
"96",0.0225607,3.572,3.484,0.01204,0.01298,0.0237,0.00357,0.00787,8.09,1.91,0.6688,1.1328,0.00277,0.00265
"97",0.00336367,2.332,1.1,0.019,0.00086,0.00606,0.00621,0.00319,1.87,9.11,0.728,1.2992,0.00397,0.00043
"98",-0.0534737,3.396,0.492,0.01548,0.00386,-0.0171,0.00099,0.00807,1.37,5.79,0.6704,1.1856,0.00675,0.00343
"99",0.0108857,0.652,2.844,0.02636,0.0131,0.00474,0.00587,0.00821,7.03,5.41,0.6064,0.7728,0.00015,0.00717
"100",-0.0781547,1.98,1.66,0.0286,0.01982,-0.02562,0.00269,0.00801,4.07,1.53,1.0656,0.7888,0.00855,0.00929
"101",-0.0779105,2.028,0.748,0.017,-0.00166,-0.02622,0.00991,0.00613,2.63,0.45,0.5536,0.8528,0.00737,0.00639
"102",-0.382602,1.652,1.876,0.03316,0.02162,-0.02898,0.00571,0.00779,8.01,0.03,1.04,1.1568,0.00735,0.00979
"103",0.0314238,0.644,0.836,0.02588,0.00854,0.02118,0.00411,0.00871,6.59,7.11,1.1232,1.1584,0.00589,0.00933
"104",-0.0835421,3.476,0.036,0.023,0.01118,-0.00438,0.00533,0.00611,2.65,4.25,1.0896,0.5616,0.00717,0.00373
"105",0.0185171,3.892,2.724,0.01908,0.03602,0.02586,0.00155,0.00011,8.89,0.41,0.608,0.8128,0.00505,0.00025
"106",-0.426105,3.3,3.516,0.0098,0.03242,-0.00666,0.00451,0.00875,8.39,0.07,0.9152,1.2672,0.00661,0.00949
"107",-0.000643368,2.74,1.316,0.0034,0.00314,-0.00618,0.00181,0.00677,5.33,8.41,0.7376,0.736,0.00531,0.00565
"108",0.0104195,2.668,1.356,0.0054,-0.00058,0.02958,0.00499,0.00423,7.61,6.81,0.9008,1.2352,0.00373,0.00263
"109",0.0422237,1.1,2.604,0.02748,0.04166,-0.00702,0.00343,0.00635,4.87,2.97,1.2656,0.8736,0.00159,0.00019
